baseline,corpus,weighted,method,pos,metaphor,similarity_value,baseline_value,test_stat,p_value
mixedBL,gutenberg,unweighted,cosine,all,8 money is liquid,0.2407156501924166,0.3807821083961981,-34.11051982380099,2.8910099193910847e-140
mixedBL,gutenberg,unweighted,cosine,all,9 good is up,0.2808128915558983,0.3741437021633611,-22.62961234978572,1.4508855030953996e-81
mixedBL,gutenberg,unweighted,cosine,all,10 bad is down,0.3056210649536094,0.3814403286164415,-17.48942422899296,3.098432833420873e-55
mixedBL,gutenberg,unweighted,cosine,ADJ,1 importance is size,0.2858125776983797,0.3777367322019563,-8.390055808553068,7.43169944022974e-12
mixedBL,gutenberg,unweighted,cosine,ADJ,2 active is life,0.3728140997700393,0.365631163913531,0.4707842667328575,0.6394208041201668
mixedBL,gutenberg,unweighted,cosine,ADJ,3 life is journey,0.3327132987324148,0.3960671547750462,-4.737602602197134,1.273030285973288e-05
mixedBL,gutenberg,unweighted,cosine,ADJ,4 failure is death,0.3332438750658184,0.3538690249862031,-1.6002882433121248,0.1145379204458201
mixedBL,gutenberg,unweighted,cosine,ADJ,5 success is life,0.3727025403641164,0.4173376783673802,-3.5115140527005675,0.0008296151892203
mixedBL,gutenberg,unweighted,cosine,ADJ,6 perceiving is eating,0.3093414776958525,0.3666981999367817,-6.814040704490389,4.21066514096834e-09
mixedBL,gutenberg,unweighted,cosine,ADJ,7 affection is warmth,0.3647815252188593,0.3588737947092159,0.4277013480911252,0.6703270380206234
mixedBL,gutenberg,unweighted,cosine,ADJ,8 money is liquid,0.2514751633862033,0.3976842274242153,-9.38845509062171,1.385120505268251e-13
mixedBL,gutenberg,unweighted,cosine,ADJ,9 good is up,0.3164837777148932,0.3942039537540404,-6.0211427229488,9.771093509753352e-08
mixedBL,gutenberg,unweighted,cosine,ADJ,10 bad is down,0.3110285298898816,0.377551138193412,-6.247206032026078,4.014564915418535e-08
mixedBL,gutenberg,unweighted,cosine,VERB,1 importance is size,0.4393850817577913,0.3603438769441891,5.242641102282161,1.9593857568731044e-06
mixedBL,gutenberg,unweighted,cosine,VERB,2 active is life,0.4644022136926651,0.489102505336923,-2.734668407717028,0.0080988678950995
mixedBL,gutenberg,unweighted,cosine,VERB,3 life is journey,0.3894942086189985,0.3601441329660201,2.253973393955817,0.0276851629486685
mixedBL,gutenberg,unweighted,cosine,VERB,4 failure is death,0.4431823892518878,0.3805804350955986,6.756448737704474,5.3014351557717375e-09
mixedBL,gutenberg,unweighted,cosine,VERB,5 success is life,0.4435872789472341,0.357731509157602,7.393426817202969,4.1088699269222246e-10
mixedBL,gutenberg,unweighted,cosine,VERB,6 perceiving is eating,0.3900191537104547,0.3855250317174796,0.5100573718502663,0.6117936463739783
mixedBL,gutenberg,unweighted,cosine,VERB,7 affection is warmth,0.3495431009214371,0.3790929417439519,-2.8079759480464856,0.006629020336531
mixedBL,gutenberg,unweighted,cosine,VERB,8 money is liquid,0.3421508020255714,0.374398280270907,-3.889901569501354,0.0002442384326229
mixedBL,gutenberg,unweighted,cosine,VERB,9 good is up,0.4108838057145476,0.3647803009172912,4.865649084759052,7.974526020663708e-06
mixedBL,gutenberg,unweighted,cosine,VERB,10 bad is down,0.4760195221751928,0.3997836905128906,7.443271624427116,3.361598409105895e-10
mixedBL,gutenberg,unweighted,cosine,NOUN,1 importance is size,0.3829600524622947,0.3602882544582098,1.600008793160098,0.1145999890089216
mixedBL,gutenberg,unweighted,cosine,NOUN,2 active is life,0.4530428268481046,0.3801557952313306,4.971108219182731,5.405626551042978e-06
mixedBL,gutenberg,unweighted,cosine,NOUN,3 life is journey,0.3214891387615353,0.3735383036001826,-5.127734624640851,3.017345682355867e-06
mixedBL,gutenberg,unweighted,cosine,NOUN,4 failure is death,0.4233918383251875,0.3725542104717169,3.898638033832429,0.0002372559673567
mixedBL,gutenberg,unweighted,cosine,NOUN,5 success is life,0.400278840214014,0.3620903015013209,2.643476917704611,0.010342323106916
mixedBL,gutenberg,unweighted,cosine,NOUN,6 perceiving is eating,0.3063627029769122,0.3762882242948763,-7.5762428237767665,1.9674504074151332e-10
mixedBL,gutenberg,unweighted,cosine,NOUN,7 affection is warmth,0.3407683070981875,0.3788265869121096,-2.3523937386194014,0.0217903952360773
mixedBL,gutenberg,unweighted,cosine,NOUN,8 money is liquid,0.2642714763060212,0.3558173995361449,-14.4860825486844,1.007777050911715e-21
mixedBL,gutenberg,unweighted,cosine,NOUN,9 good is up,0.2634687221143394,0.3790696704899892,-9.28476075282949,2.088337388470745e-13
mixedBL,gutenberg,unweighted,cosine,NOUN,10 bad is down,0.3117982341209426,0.3656346487819428,-4.14739365083898,0.0001024837251031
mixedBL,gutenberg,weighted,cosine,all,1 importance is size,0.3199257357723101,0.3682269772383098,-11.853728498674766,9.222625770769437e-30
mixedBL,gutenberg,weighted,cosine,all,2 active is life,0.3872805412536786,0.412501932000665,-5.475185377744549,6.25951275008829e-08
mixedBL,gutenberg,weighted,cosine,all,3 life is journey,0.2975003492469207,0.3793648674563231,-21.26818912399668,7.760312491209124e-78
mixedBL,gutenberg,weighted,cosine,all,4 failure is death,0.3496757349400526,0.3690496385526333,-4.851655831109585,1.4982983816420258e-06
mixedBL,gutenberg,weighted,cosine,all,5 success is life,0.3474556875794574,0.3770556561192967,-7.445343450656268,2.738215880481581e-13
mixedBL,gutenberg,weighted,cosine,all,6 perceiving is eating,0.2783988716671006,0.3741672049312163,-31.1740726203467,3.4720185289942404e-136
mixedBL,gutenberg,weighted,cosine,all,7 affection is warmth,0.3011794647313336,0.3690910137225577,-15.850296338600463,1.384821481960214e-48
mixedBL,gutenberg,weighted,cosine,all,8 money is liquid,0.2375267421403856,0.3788132293997832,-40.36476461563365,6.405112631297993e-188
mixedBL,gutenberg,weighted,cosine,all,9 good is up,0.2789237265346063,0.3737728486782275,-25.69624432686969,3.834248774722461e-104
mixedBL,gutenberg,weighted,cosine,all,10 bad is down,0.302202270814666,0.3886807811825994,-22.78969209899678,3.417282529518203e-87
mixedBL,gutenberg,weighted,cosine,ADJ,1 importance is size,0.2893565814068288,0.3837558897707559,-9.53124273298206,7.965102321057646e-15
mixedBL,gutenberg,weighted,cosine,ADJ,2 active is life,0.3791462374322208,0.3667633328340619,0.9461952294678676,0.3468982409032268
mixedBL,gutenberg,weighted,cosine,ADJ,3 life is journey,0.3306968408740229,0.3952971673121296,-5.183661463523557,1.9610803656607395e-06
mixedBL,gutenberg,weighted,cosine,ADJ,4 failure is death,0.3275220180735176,0.3573059581819187,-2.7685163457741218,0.0069954199218711
mixedBL,gutenberg,weighted,cosine,ADJ,5 success is life,0.3665511911665952,0.4124239584281292,-4.2204103429546285,6.391288450651939e-05
mixedBL,gutenberg,weighted,cosine,ADJ,6 perceiving is eating,0.3100307922304412,0.3714784136128123,-8.02580574721533,7.199171856241929e-12
mixedBL,gutenberg,weighted,cosine,ADJ,7 affection is warmth,0.3604477319038576,0.3539532237456942,0.5297378365427552,0.5979463683754356
mixedBL,gutenberg,weighted,cosine,ADJ,8 money is liquid,0.2436952186219486,0.3868104091611832,-10.90904642428334,1.6828032884374362e-17
mixedBL,gutenberg,weighted,cosine,ADJ,9 good is up,0.2992042904650723,0.3884832758791055,-7.444046156537717,9.835500418582356e-11
mixedBL,gutenberg,weighted,cosine,ADJ,10 bad is down,0.3047256692324155,0.3760362418126285,-7.887150840343695,1.3450915983389103e-11
mixedBL,gutenberg,weighted,cosine,VERB,1 importance is size,0.431218803020907,0.3599608592487825,5.457054403371829,5.270588086042414e-07
mixedBL,gutenberg,weighted,cosine,VERB,2 active is life,0.4610964865596206,0.4872885223946039,-3.372346319565327,0.0011505524139372
mixedBL,gutenberg,weighted,cosine,VERB,3 life is journey,0.4147185720043418,0.3647727651817487,3.9657396658883,0.0001583804911132
mixedBL,gutenberg,weighted,cosine,VERB,4 failure is death,0.4525939476342849,0.3716282786789815,9.878647357756025,1.66683512674866e-15
mixedBL,gutenberg,weighted,cosine,VERB,5 success is life,0.4521374639905529,0.3498555634769879,9.964406135032844,1.1339915697925213e-15
mixedBL,gutenberg,weighted,cosine,VERB,6 perceiving is eating,0.38428536940504,0.3886922861091479,-0.5242523524202886,0.6015525963622406
mixedBL,gutenberg,weighted,cosine,VERB,7 affection is warmth,0.3577724248170852,0.3702440092998037,-1.3226169932229916,0.1897313489074213
mixedBL,gutenberg,weighted,cosine,VERB,8 money is liquid,0.3289999465147654,0.3792764065743504,-6.522542704094617,5.77150478559875e-09
mixedBL,gutenberg,weighted,cosine,VERB,9 good is up,0.4217063144401268,0.3652223772094023,6.606265387320829,4.006738290125849e-09
mixedBL,gutenberg,weighted,cosine,VERB,10 bad is down,0.4690284037295683,0.4120942832800605,6.381939140227556,1.0623043135651593e-08
mixedBL,gutenberg,weighted,cosine,NOUN,1 importance is size,0.395949070284396,0.3535732285980922,3.27072393597171,0.0015838098132577
mixedBL,gutenberg,weighted,cosine,NOUN,2 active is life,0.4483840700100969,0.3692160237033628,5.0022211821365445,6.589063319594528e-06
mixedBL,gutenberg,weighted,cosine,NOUN,3 life is journey,0.3354203230069007,0.3713200063919102,-3.724058965083692,0.0003635230747716
mixedBL,gutenberg,weighted,cosine,NOUN,4 failure is death,0.4430155583001949,0.3753722051099909,5.508215160406703,4.27164968237543e-07
mixedBL,gutenberg,weighted,cosine,NOUN,5 success is life,0.4125004348195629,0.368895663227311,3.4583979671961123,0.0008735910724742
mixedBL,gutenberg,weighted,cosine,NOUN,6 perceiving is eating,0.3139637636917609,0.3763226578789648,-7.361572850145792,1.4218906270598008e-10
mixedBL,gutenberg,weighted,cosine,NOUN,7 affection is warmth,0.3638956038120352,0.3717563484793953,-0.5075042452584675,0.6131973471497533
mixedBL,gutenberg,weighted,cosine,NOUN,8 money is liquid,0.2640898003254407,0.3657589623724098,-18.726634181480552,5.618168461736433e-31
mixedBL,gutenberg,weighted,cosine,NOUN,9 good is up,0.2644695941312813,0.3725372007088937,-10.0591135137289,7.414524964500065e-16
mixedBL,gutenberg,weighted,cosine,NOUN,10 bad is down,0.3079845218194855,0.3653596290554506,-5.279732476252495,1.085128167488011e-06
mixedBL,gutenberg,unweighted,euclidian,all,1 importance is size,0.2208120607150097,0.3077878113634263,-22.276368721611075,1.001381468579052e-79
mixedBL,gutenberg,unweighted,euclidian,all,2 active is life,0.3328830468882289,0.3959902129632731,-13.52112618089558,2.277579094626611e-36
mixedBL,gutenberg,unweighted,euclidian,all,3 life is journey,0.2066548603793813,0.3299254614220829,-26.620564669155645,2.376741787410981e-102
mixedBL,gutenberg,unweighted,euclidian,all,4 failure is death,0.2542067614073555,0.323794682468805,-17.15633208783892,1.3904181383831374e-53
mixedBL,gutenberg,unweighted,euclidian,all,5 success is life,0.2234576367255714,0.3342546575882524,-25.963852804891268,6.107373441011304e-99
mixedBL,gutenberg,unweighted,euclidian,all,6 perceiving is eating,0.1576268656386269,0.3306454465569308,-55.72455194252128,5.946602939910064e-234
mixedBL,gutenberg,unweighted,euclidian,all,7 affection is warmth,0.2370257876916892,0.3244114923497869,-19.73012941903433,1.4592808700816644e-66
mixedBL,gutenberg,unweighted,euclidian,all,8 money is liquid,0.1943189116298324,0.3084372564162024,-36.60148167726826,2.521988313219336e-152
mixedBL,gutenberg,unweighted,euclidian,all,9 good is up,0.1953142972456084,0.3182991844513971,-30.62617031355795,6.748427189739866e-123
mixedBL,gutenberg,unweighted,euclidian,all,10 bad is down,0.2259849630710151,0.3182932858241515,-22.30989398811873,6.701135925575643e-80
mixedBL,gutenberg,unweighted,euclidian,ADJ,1 importance is size,0.1749738128855824,0.2248969574971124,-4.693544588373388,1.493589654181534e-05
mixedBL,gutenberg,unweighted,euclidian,ADJ,2 active is life,0.1953066987916827,0.2525653467699885,-4.440894408764043,3.688669067196688e-05
mixedBL,gutenberg,unweighted,euclidian,ADJ,3 life is journey,0.2073111440986395,0.2565239738998934,-2.683559612076047,0.0092943029588595
mixedBL,gutenberg,unweighted,euclidian,ADJ,4 failure is death,0.215221825055778,0.2289502531616017,-1.053455418652947,0.2961559704582956
mixedBL,gutenberg,unweighted,euclidian,ADJ,5 success is life,0.1494932565838098,0.275402466233354,-8.43386428424791,6.233072089280859e-12
mixedBL,gutenberg,unweighted,euclidian,ADJ,6 perceiving is eating,0.1036318307742476,0.2128026230912655,-10.83698796457766,4.954608310090093e-16
mixedBL,gutenberg,unweighted,euclidian,ADJ,7 affection is warmth,0.1441787681542337,0.1953413979057222,-3.2070376186899714,0.0021084330455895
mixedBL,gutenberg,unweighted,euclidian,ADJ,8 money is liquid,0.1640681670978665,0.2574297040421516,-6.756313291035746,5.304306594515278e-09
mixedBL,gutenberg,unweighted,euclidian,ADJ,9 good is up,0.1723200865089893,0.2500367295648902,-5.815918637476816,2.1770782116172413e-07
mixedBL,gutenberg,unweighted,euclidian,ADJ,10 bad is down,0.1377244340255856,0.2389583545923233,-9.23425984850842,2.551354720020147e-13
mixedBL,gutenberg,unweighted,euclidian,VERB,1 importance is size,0.2624777387827635,0.2691588135669008,-0.4521133425020742,0.6527402024599449
mixedBL,gutenberg,unweighted,euclidian,VERB,2 active is life,0.1894215224310755,0.3984005948342383,-14.386267977534356,1.410254728694207e-21
mixedBL,gutenberg,unweighted,euclidian,VERB,3 life is journey,0.2155416682362556,0.2357286370359361,-1.2127294472841226,0.2297612432917899
mixedBL,gutenberg,unweighted,euclidian,VERB,4 failure is death,0.1947804391384124,0.2320054180594161,-3.2973202219714395,0.0016071040828964
mixedBL,gutenberg,unweighted,euclidian,VERB,5 success is life,0.2289120024070143,0.1969641900341957,2.8698595614381173,0.0055838311117907
mixedBL,gutenberg,unweighted,euclidian,VERB,6 perceiving is eating,0.1244877567514777,0.2398511163191869,-13.635177368070751,1.841314476065729e-20
mixedBL,gutenberg,unweighted,euclidian,VERB,7 affection is warmth,0.1366068758070469,0.2238564024027437,-9.513304901727944,8.458348308721636e-14
mixedBL,gutenberg,unweighted,euclidian,VERB,8 money is liquid,0.0878481529653072,0.1828812081459909,-12.854937726831386,2.867419450384333e-19
mixedBL,gutenberg,unweighted,euclidian,VERB,9 good is up,0.130138580687344,0.2203231393033638,-9.533125929538397,7.822218527341598e-14
mixedBL,gutenberg,unweighted,euclidian,VERB,10 bad is down,0.1812683437019586,0.2458528308779932,-4.8908496414869305,7.269073638646136e-06
mixedBL,gutenberg,unweighted,euclidian,NOUN,1 importance is size,0.1598633592948317,0.2009789106994867,-3.315191630187217,0.0015222242260703
mixedBL,gutenberg,unweighted,euclidian,NOUN,2 active is life,0.2320365863852203,0.2410993736609816,-0.6349703592634678,0.5277472003858645
mixedBL,gutenberg,unweighted,euclidian,NOUN,3 life is journey,0.1683615855872631,0.2470818291045725,-6.030399865126473,9.42287633027438e-08
mixedBL,gutenberg,unweighted,euclidian,NOUN,4 failure is death,0.1762519059702754,0.2159701908612623,-2.438573104482356,0.0175762244109999
mixedBL,gutenberg,unweighted,euclidian,NOUN,5 success is life,0.1466283882036805,0.2023916924884543,-4.174541962473883,9.336912635648782e-05
mixedBL,gutenberg,unweighted,euclidian,NOUN,6 perceiving is eating,0.0992263313382864,0.2346198849892243,-17.10768682546158,2.3045156914164106e-25
mixedBL,gutenberg,unweighted,euclidian,NOUN,7 affection is warmth,0.1987785771489143,0.2332942214980721,-2.279979114448137,0.0260043175393196
mixedBL,gutenberg,unweighted,euclidian,NOUN,8 money is liquid,0.1060169320553541,0.2098001830931753,-14.97950091945466,1.9498970648476784e-22
mixedBL,gutenberg,unweighted,euclidian,NOUN,9 good is up,0.1586538078263402,0.2880413261475041,-11.322996048587632,7.865776621812981e-17
